id,name,address,phone,website,is_cosmetic,is_funeral,is_hospital,is_live,is_park,is_product,is_shelter,city,district,lat,lon,rating,rating_count,business_hours,has_emergency,support_small_dog,support_medium_dog,support_large_dog,support_cat,support_bird,support_rodent,support_reptile,support_other,supported_pet_types,is_pet_type_inferred,additional_info,created_at,updated_at
28435,哈比寵物美容,330臺灣桃園市桃園區大業路一段32號,"03 333 9896",https://www.facebook.com/Habi.salon,1,0,0,0,0,0,0,桃園市,桃園區,NULL,NULL,4.90,289,"{"friday": "10:30 – 18:00", "monday": "10:30 – 18:00", "sunday": "休息", "tuesday": "10:30 – 18:00", "saturday": "10:30 – 18:00", "thursday": "10:30 – 18:00", "wednesday": "10:30 – 18:00"}",0,0,0,0,0,0,0,0,0,,1,NULL,"2025-05-21 10:07:24.430485","2025-05-21 10:07:24.430509"
28436,萊恩寵物沙龍精品旅館-桃園寵物美容|寵物鮮食|寵物洗澡|寵物安親|貓狗住宿|寵物住宿|寵物旅館|在地推薦寵物店,330臺灣桃園市桃園區民族路199-2號,"03 360 8693",https://www.facebook.com/lionbeautycasa?mibextid=LQQJ4d,1,0,0,1,0,0,0,桃園市,桃園區,NULL,NULL,4.90,179,"{"friday": "10:00 – 19:00", "monday": "10:00 – 19:00", "sunday": "10:00 – 19:00", "tuesday": "10:00 – 19:00", "saturday": "10:00 – 19:00", "thursday": "10:00 – 19:00", "wednesday": "10:00 – 19:00"}",0,1,1,1,1,0,0,0,0,"小型犬 中型犬 大型犬 貓",0,NULL,"2025-05-21 10:07:24.437359","2025-05-21 10:31:37.208454"
28437,"孩要有你寵物沙龍   桃園寵物美容 桃園寵物沙龍 桃園寵物洗澡 桃園貓狗剪毛 藝文特區寵物美容 藝文特區洗狗",330臺灣桃園市桃園區敬二街25號23號,"0905 675 625",https://www.facebook.com/%E5%AD%A9%E8%A6%81%E6%9C%89%E4%BD%A0%E5%AF%B5%E7%89%A9%E6%B2%99%E9%BE%8D-172817206976828/,1,1,0,0,0,1,0,桃園市,桃園區,NULL,NULL,4.70,151,"{"friday": "10:30 – 20:00", "monday": "10:30 – 20:00", "sunday": "10:30 – 20:00", "tuesday": "10:30 – 20:00", "saturday": "10:30 – 20:00", "thursday": "10:30 – 20:00", "wednesday": "10:30 – 20:00"}",0,0,0,0,0,0,0,0,0,,1,NULL,"2025-05-21 10:07:24.443805","2025-05-21 10:42:28.908182"
28438,澡樂子寵物美容,330臺灣桃園市桃園區建國路286號,"03 367 8709",https://m.facebook.com/HaveFunPetSalon/,1,1,0,0,0,1,0,桃園市,桃園區,NULL,NULL,4.90,78,"{"friday": "11:00 – 19:00", "monday": "11:00 – 19:00", "sunday": "11:00 – 19:00", "tuesday": "休息", "saturday": "11:00 – 19:00", "thursday": "11:00 – 19:00", "wednesday": "休息"}",0,0,0,0,0,0,0,0,0,,1,NULL,"2025-05-21 10:07:24.450013","2025-05-21 10:42:22.563649"
28439,"艾森寵物沙龍 全預約 ",330臺灣桃園市桃園區樹仁三街79號,,https://instagram.com/awesome3637335?igshid=MzRlODBiNWFlZA==,1,0,0,0,0,0,0,桃園市,桃園區,NULL,NULL,5.00,43,"{"friday": "10:30 – 19:00", "monday": "10:30 – 19:00", "sunday": "10:30 – 19:00", "tuesday": "10:30 – 19:00", "saturday": "10:30 – 19:00", "thursday": "休息", "wednesday": "休息"}",0,0,0,0,0,0,0,0,0,,1,NULL,"2025-05-21 10:07:24.455751","2025-05-21 10:07:24.455766"
28440,承諾寵物美容沙龍-桃園寵物美容|寵物澡堂|寵物洗澡|寵物安親|寵物沙龍|在地推薦寵物店|寵物剪毛|精緻寵物美容,33049臺灣桃園市桃園區大業路二段218號,"0989 089 821",https://lin.ee/fIyEHYj,1,0,0,0,0,0,0,桃園市,桃園區,NULL,NULL,5.00,79,"{"friday": "09:00 – 19:00", "monday": "09:00 – 19:00", "sunday": "09:00 – 19:00", "tuesday": "09:00 – 19:00", "saturday": "09:00 – 19:00", "thursday": "09:00 – 19:00", "wednesday": "09:00 – 19:00"}",0,0,0,0,0,0,0,0,0,,1,NULL,"2025-05-21 10:07:24.462136","2025-05-21 10:07:24.462160"
28441,TUTU寵物SPA沙龍館,330臺灣桃園市桃園區文中三路197號,"0986 583 238",https://www.facebook.com/TUTU%E5%AF%B5%E7%89%A9Spa%E6%B2%99%E9%BE%8D%E9%A4%A8-277045799370692,1,0,0,0,0,0,0,桃園市,桃園區,NULL,NULL,4.80,113,"{"friday": "11:00 – 19:00", "monday": "11:00 – 19:00", "sunday": "11:00 – 19:00", "tuesday": "11:00 – 19:00", "saturday": "11:00 – 19:00", "thursday": "休息", "wednesday": "休息"}",0,0,0,0,0,0,0,0,0,,1,NULL,"2025-05-21 10:07:24.468670","2025-05-21 10:07:24.468686"
28442,愛心寵物美容,33050臺灣桃園市桃園區春日路1119號,"03 326 8044",,1,0,0,0,0,0,0,桃園市,桃園區,NULL,NULL,4.70,65,"{"friday": "09:00 – 19:00", "monday": "09:00 – 19:00", "sunday": "休息", "tuesday": "09:00 – 19:00", "saturday": "09:00 – 19:00", "thursday": "09:00 – 19:00", "wednesday": "休息"}",0,0,0,0,0,0,0,0,0,,1,NULL,"2025-05-21 10:07:24.475225","2025-05-21 10:07:24.475257"
28443,"CAMA CAMA 寵物美容 預約制 ",330臺灣桃園市桃園區大興路209號,"03 326 7282",,1,0,0,0,0,0,0,桃園市,桃園區,NULL,NULL,4.60,103,"{"friday": "10:00 – 19:00", "monday": "10:00 – 19:00", "sunday": "10:00 – 19:00", "tuesday": "休息", "saturday": "10:00 – 19:00", "thursday": "10:00 – 19:00", "wednesday": "10:00 – 19:00"}",0,0,0,0,0,0,0,0,0,,1,NULL,"2025-05-21 10:07:24.484424","2025-05-21 10:07:24.484439"
28444,"Qbaby 小型犬 寵物美容",330臺灣桃園市桃園區自強路65巷2號,,https://www.facebook.com/Qbaby8134/,1,0,0,0,0,0,0,桃園市,桃園區,NULL,NULL,5.00,42,"{"friday": "10:00 – 19:00", "monday": "休息", "sunday": "休息", "tuesday": "10:00 – 19:00", "saturday": "10:00 – 19:00", "thursday": "10:00 – 19:00", "wednesday": "10:00 – 19:00"}",0,0,0,0,0,0,0,0,0,,1,NULL,"2025-05-21 10:07:24.491890","2025-05-21 10:07:24.491927"
